"concept_id","n_patients","n_records"
4178951,29,29
4232599,29,35
4242873,29,29
4338312,29,30
4347421,29,29
37206727,29,33
4019540,28,29
4120148,28,66
4188466,28,32
4212941,28,33
4315036,28,28
36680592,28,29
40489321,28,38
4022807,27,44
4065687,27,27
4066910,27,27
4097988,27,27
4099015,27,31
4142080,27,28
4170058,27,88
4196934,27,27
4216088,27,30
4226830,27,28
4229118,27,32
4017700,26,26
4025993,26,29
4034446,26,29
4060043,26,26
4077778,26,26
4013505,25,28
4068429,25,53
4118634,25,25
4119924,25,25
4162987,25,25
4179363,25,25
4181450,25,25
4187537,25,27
4240701,25,27
4258374,25,44
4277927,25,25
37154070,25,25
40490399,25,25
619308,24,58
4068662,24,80
4072156,24,25
4074687,24,25
4075144,24,25
4080015,24,24
4082706,24,26
4084965,24,25
4123634,24,31
4124529,24,26
4127484,24,27
4190187,24,25
4232331,24,24
4298948,24,24
4334590,24,26
4334652,24,26
40480282,24,24
4002243,23,26
4019228,23,24
4048335,23,23
4068317,23,24
4108845,23,37
4125325,23,26
4130185,23,23
4132400,23,33
4146391,23,24
4178736,23,26
4181781,23,24
4190990,23,104
4227277,23,27
4231419,23,25
4261365,23,24
4266016,23,24
4277585,23,23
4340102,23,27
4341373,23,23
606317,22,25
4000882,22,23
4055495,22,22
4071934,22,22
4144797,22,22
4146252,22,23
4173506,22,22
4204786,22,22
4339949,22,22
37311675,22,22
42709769,22,24
46272634,22,38
4042327,21,21
4089174,21,27
4222947,21,22
4268341,21,21
4293475,21,22
4308662,21,26
4328722,21,23
4022794,20,20
4041263,20,44
4046707,20,20
4049832,20,20
4072257,20,22
4090455,20,22
4099370,20,20
4127237,20,20
4129201,20,22
4137462,20,23
4147839,20,20
4178013,20,20
4264661,20,20
4309590,20,24
4337605,20,20
40488890,20,20
4074152,19,25
4163536,19,19
4185578,19,20
4207360,19,19
4214122,19,20
4224154,19,19
4287467,19,20
4029549,18,18
4048326,18,18
4062876,18,18
4153287,18,18
4218467,18,29
4227911,18,18
4228824,18,19
4231432,18,18
4244871,18,18
4251737,18,18
4263094,18,18
4288878,18,18
4331908,18,18
43531134,18,18
4007438,17,35
4032408,17,17
4034845,17,18
4049734,17,19
4051932,17,17
4066636,17,18
4069034,17,17
4072435,17,20
4092980,17,17
4107572,17,17
4131534,17,20
4167173,17,17
4189219,17,17
4195648,17,17
4250892,17,17
4265676,17,17
4287710,17,18
4295950,17,19
4329458,17,17
4336699,17,19
42537746,17,25
44782864,17,17
4031777,16,16
4065062,16,16
4066625,16,16
4080019,16,17
4127240,16,16
4134148,16,17
4145225,16,16
4185100,16,18
4204692,16,16
4213306,16,16
4218111,16,18
4229918,16,16
4231506,16,16
4272937,16,18
4290511,16,16
4293738,16,16
4295161,16,16
40482195,16,18
3655968,15,37
4043335,15,20
4069384,15,15
4070472,15,15
4071443,15,15
4071494,15,15
4072191,15,15
4129854,15,15
4138816,15,15
4150831,15,15
4172438,15,15
4199570,15,17
4210605,15,15
4231454,15,15
4302823,15,15
4303998,15,16
37311362,15,20
4006849,14,15
4011971,14,15
4021253,14,18
4023293,14,16
4069862,14,14
4075890,14,14
4079401,14,14
4144861,14,14
4160163,14,14
4176323,14,15
4185734,14,15
4194253,14,14
4201033,14,14
4205529,14,14
4216567,14,14
4217608,14,14
4219240,14,15
4267567,14,14
4275747,14,14
4298166,14,14
4341896,14,16
37165394,14,14
40307721,14,15
40487346,14,17
40487348,14,15
43531553,14,14
4010266,13,13
4013567,13,15
4018561,13,14
4019226,13,13
4025680,13,13
4033398,13,16
4042506,13,14
4046932,13,13
4049682,13,14
4067474,13,13
4075296,13,13
4110247,13,13
4138691,13,13
4140091,13,13
4165739,13,14
4196167,13,13
4201093,13,14
4216250,13,13
4234393,13,14
4265898,13,13
4277414,13,13
4307663,13,13
4309374,13,20
4322818,13,13
4337049,13,13
42872710,13,15
44790210,13,16
761010,12,12
1447443,12,14
4002218,12,14
4030165,12,13
4032735,12,24
4074151,12,18
4234919,12,23
4275880,12,12
4282602,12,12
4290938,12,12
4301429,12,12
4302672,12,12
4336764,12,12
