"concept_id","relationship","target_concept_id","target_concept_name"
254282,"finding_site",4177005,"Soft palate structure"
254282,"morphology",37153816,"Malignant neoplasm"
254282,"morphology",4312326,"Neoplasm, malignant (primary)"
254282,"pathology",37157802,"Primary malignant neoplastic proliferation"
254443,"finding_site",4071048,"Connective tissue structure"
254443,"finding_site",4180625,"Exocrine gland structure"
254443,"morphology",4053015,"Inflammation"
254443,"morphology",4253008,"Inflammatory morphology"
254443,"pathology",4139804,"Autoimmune process"
254669,"finding_site",4263612,"Vocal cord structure"
254761,"finding_site",4156081,"Respiratory tract structure"
255084,"finding_site",4012637,"Structure of parenchyma of lung"
255084,"morphology",45771021,"Inflammation and consolidation"
255084,"occurrence",4116830,"Congenital"
255084,"pathology",40480911,"Infectious process"
255302,"finding_site",4237074,"Pleural cavity structure"
255302,"morphology",4307599,"Air leakage"
255348,"finding_site",4071048,"Connective tissue structure"
255454,"causative_agent",4035081,"Mycobacterium tuberculosis complex"
255454,"finding_site",4213162,"Lung structure"
255454,"morphology",4269928,"Granulomatous inflammation"
255454,"pathology",40480911,"Infectious process"
255573,"clinical_course",4236661,"Chronic"
255573,"finding_site",4241273,"Tracheobronchial structure"
255573,"morphology",45769800,"Narrowing"
255841,"clinical_course",4236661,"Chronic"
255841,"finding_site",4317407,"Bronchial structure"
255841,"morphology",4253009,"Chronic inflammatory morphology"
255848,"finding_site",4012637,"Structure of parenchyma of lung"
255848,"morphology",4253008,"Inflammatory morphology"
255848,"pathology",40480911,"Infectious process"
255891,"finding_site",4071048,"Connective tissue structure"
255891,"pathology",4139804,"Autoimmune process"
256018,"causative_agent",4035081,"Mycobacterium tuberculosis complex"
256018,"finding_site",4213162,"Lung structure"
256018,"morphology",4269928,"Granulomatous inflammation"
256018,"pathology",40480911,"Infectious process"
256142,"finding_site",4075101,"Dentition"
256142,"morphology",45772952,"Malocclusion"
256197,"finding_site",4213162,"Lung structure"
256197,"pathology",4139804,"Autoimmune process"
256439,"causative_agent",4116682,"Pollen"
256439,"clinical_course",4071024,"Seasonal course"
256439,"finding_site",4145936,"Structure of mucous membrane of nose"
256439,"morphology",4328231,"Acute and chronic inflammation"
256439,"morphology",4053015,"Inflammation"
256439,"pathology",35626102,"Immunoglobulin E-mediated allergic process"
256449,"finding_site",4317407,"Bronchial structure"
256449,"morphology",4102695,"Dilatation"
256451,"finding_site",4317407,"Bronchial structure"
256451,"morphology",4253008,"Inflammatory morphology"
256622,"causative_agent",4348029,"Mycobacterium"
256622,"finding_site",4213162,"Lung structure"
256622,"pathology",40480911,"Infectious process"
256633,"finding_site",40633524,"Structure of pharyngeal part of tongue"
256633,"morphology",37153816,"Malignant neoplasm"
256633,"morphology",4312326,"Neoplasm, malignant (primary)"
256633,"pathology",37157802,"Primary malignant neoplastic proliferation"
256721,"causative_agent",4193245,"Solid substance"
256721,"finding_site",4012637,"Structure of parenchyma of lung"
256721,"morphology",4053015,"Inflammation"
256721,"morphology",4253008,"Inflammatory morphology"
256722,"finding_site",4317407,"Bronchial structure"
256722,"finding_site",4012637,"Structure of parenchyma of lung"
256722,"morphology",45771021,"Inflammation and consolidation"
256722,"pathology",40480911,"Infectious process"
256723,"causative_agent",37111241,"Influenza virus"
256723,"finding_site",4012637,"Structure of parenchyma of lung"
256723,"finding_site",4065366,"Structure of respiratory system"
256723,"morphology",45771021,"Inflammation and consolidation"
256723,"pathology",40480911,"Infectious process"
256810,"finding_site",4215482,"Structure of choana"
256810,"morphology",1073198,"Atresia"
256810,"morphology",4208825,"Congenital atresia"
256810,"occurrence",4116830,"Congenital"
256810,"pathology",4204670,"Pathological developmental process"
257004,"clinical_course",4116360,"Acute-on-chronic"
257004,"finding_site",4241273,"Tracheobronchial structure"
257004,"morphology",45769800,"Narrowing"
257007,"finding_site",4145936,"Structure of mucous membrane of nose"
257007,"morphology",4053015,"Inflammation"
257007,"morphology",4253008,"Inflammatory morphology"
257007,"pathology",35626102,"Immunoglobulin E-mediated allergic process"
257008,"finding_site",4313990,"Peripharyngeal area structure"
257008,"finding_site",4052894,"Structure of lateral pharyngeal space"
257008,"morphology",4195605,"Abscess morphology"
257010,"finding_site",4213162,"Lung structure"
257010,"morphology",4195605,"Abscess morphology"
257011,"clinical_course",4312510,"Sudden onset AND/OR short duration"
257011,"finding_site",4240242,"Upper respiratory tract structure"
257011,"pathology",40480911,"Infectious process"
257012,"clinical_course",4236661,"Chronic"
257012,"finding_site",4051578,"Nasal sinus structure"
257012,"morphology",4253009,"Chronic inflammatory morphology"
257094,"finding_site",4213162,"Lung structure"
257094,"morphology",4175951,"Morphologically abnormal structure"
257094,"occurrence",4116830,"Congenital"
257094,"pathology",4204670,"Pathological developmental process"
257293,"finding_site",4089914,"Visual pathway structure"
257315,"causative_agent",4249833,"Domain Bacteria"
257315,"finding_site",4012637,"Structure of parenchyma of lung"
257315,"morphology",4253008,"Inflammatory morphology"
257315,"pathology",40480911,"Infectious process"
257375,"finding_site",4213162,"Lung structure"
257375,"morphology",4179955,"Hemorrhage"
257375,"occurrence",4123429,"Early neonatal period"
257503,"finding_site",4008013,"Main bronchus structure"
257503,"morphology",37153816,"Malignant neoplasm"
257503,"morphology",4312326,"Neoplasm, malignant (primary)"
257503,"pathology",37157802,"Primary malignant neoplastic proliferation"
257628,"finding_site",4071048,"Connective tissue structure"
257628,"pathology",4139804,"Autoimmune process"
257660,"finding_site",4046592,"Structure of vein of pulmonary circulation"
257660,"morphology",4052453,"Anomalous venous connection, partial"
257660,"occurrence",4116830,"Congenital"
257660,"pathology",4204670,"Pathological developmental process"
257778,"causative_agent",4198560,"Bordetella pertussis"
257778,"clinical_course",4312510,"Sudden onset AND/OR short duration"
257778,"finding_site",4317407,"Bronchial structure"
257778,"morphology",4163835,"Acute inflammation"
257778,"pathology",40480911,"Infectious process"
257905,"clinical_course",4236661,"Chronic"
257905,"finding_site",4317407,"Bronchial structure"
257905,"morphology",1243078,"Chronic mucopurulent discharge"
257905,"pathology",40480911,"Infectious process"
257907,"finding_site",4213162,"Lung structure"
258180,"causative_agent",4217941,"Gram-negative bacterium"
258180,"finding_site",4012637,"Structure of parenchyma of lung"
258180,"morphology",4253008,"Inflammatory morphology"
258180,"pathology",40480911,"Infectious process"
258375,"finding_site",4317407,"Bronchial structure"
258375,"finding_site",4213162,"Lung structure"
258375,"morphology",37153816,"Malignant neoplasm"
258375,"morphology",4312326,"Neoplasm, malignant (primary)"
258449,"finding_site",4104246,"Pericardial cavity structure"
