"concept_id","relationship","target_concept_id","target_concept_name"
4228304,"procedure_site",4219982,"Coronary artery structure"
4228305,"method",4232650,"Bypass - action"
4228305,"procedure_site",4049896,"Aortic structure"
4228305,"procedure_site",4219982,"Coronary artery structure"
4228824,"method",4045073,"Reconstruction - action"
4228824,"procedure_site",4240393,"Bone structure of mandible"
4229118,"method",4044186,"Surgical removal - action"
4229284,"method",4044525,"Excision - action"
4229284,"procedure_site",4262229,"Laryngeal structure"
4229563,"method",4044190,"Injection - action"
4229918,"method",4117491,"Anastomosis - action"
4229918,"procedure_site",4215634,"Colon structure"
4229994,"method",4117507,"Ablation - action"
4229994,"procedure_site",4240516,"Structure of first septal perforator branch of anterior descending branch of left coronary artery"
4230233,"method",4257977,"Dilation repair - action"
4230233,"method",4207319,"Fluoroscopic imaging - action"
4230233,"procedure_site",4104340,"Venous structure"
4230238,"method",4117491,"Anastomosis - action"
4230238,"method",4044525,"Excision - action"
4230238,"procedure_site",4034270,"Intestinal structure"
4230370,"method",4044525,"Excision - action"
4230370,"procedure_site",4111460,"Entire tongue"
4230527,"method",4117981,"Repair - action"
4230527,"procedure_site",4089290,"Esophageal aperture of diaphragm"
4230660,"method",4043866,"Inspection - action"
4230660,"procedure_site",4090008,"Anorectal structure"
4230911,"method",4081836,"Ultrasound imaging - action"
4230911,"procedure_site",4217142,"Heart structure"
4230961,"method",4117981,"Repair - action"
4230961,"procedure_site",4208981,"Retinal structure"
4231192,"method",4043842,"Biopsy - action"
4231192,"method",4081836,"Ultrasound imaging - action"
4231192,"procedure_site",4271678,"Kidney structure"
4231419,"method",4045056,"Aspiration - action"
4231419,"method",4044523,"Puncture - action"
4231419,"procedure_site",4035784,"Structure of serous membrane of peritoneum"
4231432,"method",4045069,"Fixation - action"
4231432,"procedure_site",4154333,"Bone structure"
4231432,"procedure_site",4323581,"Bone structure of femur"
4231454,"method",4044539,"Closure - action"
4231454,"procedure_site",4047651,"Mouth region structure"
4231506,"method",4044197,"Decortication - action"
4231506,"method",4044182,"Incision - action"
4231506,"method",4043866,"Inspection - action"
4231506,"procedure_site",4019011,"Pleural sac structure"
4231506,"procedure_site",4199473,"Thoracic structure"
4231680,"method",4232650,"Bypass - action"
4231680,"procedure_site",4049896,"Aortic structure"
4231680,"procedure_site",4297788,"Structure of femoral artery"
4231709,"method",4117981,"Repair - action"
4231709,"procedure_site",4213162,"Lung structure"
4231751,"method",4044522,"Division - action"
4231751,"procedure_site",4211392,"Bone structure of sternum"
4231924,"method",4045086,"Application - action"
4232331,"method",4044182,"Incision - action"
4232331,"procedure_site",4050631,"Maxillary sinus structure"
4232599,"method",4044547,"Fragmentation - action"
4232599,"method",4043866,"Inspection - action"
4232599,"procedure_site",4146820,"Biliary tract structure"
4232742,"method",4044539,"Closure - action"
4233078,"method",4044539,"Closure - action"
4233078,"procedure_site",4271678,"Kidney structure"
4233214,"method",4044182,"Incision - action"
4233214,"procedure_site",4165580,"Structure of anal sphincter muscle"
4233227,"method",4080877,"Radiographic imaging - action"
4233227,"procedure_site",4281237,"Jaw region structure"
4233291,"method",4044182,"Incision - action"
4233291,"method",4043866,"Inspection - action"
4233291,"method",4045073,"Reconstruction - action"
4233291,"procedure_site",37303867,"Abdomen"
4233291,"procedure_site",4244412,"Anterior abdominal wall structure"
4233291,"procedure_site",4331579,"Structure of fimbria of fallopian tube"
4233305,"method",4043866,"Inspection - action"
4233305,"method",4081836,"Ultrasound imaging - action"
4233305,"procedure_site",4317407,"Bronchial structure"
4233305,"procedure_site",4156081,"Respiratory tract structure"
4233386,"method",4045056,"Aspiration - action"
4233386,"method",4044523,"Puncture - action"
4233386,"procedure_site",4214466,"Joint structure"
4233412,"method",4044525,"Excision - action"
4233412,"procedure_site",4201145,"Right colon structure"
4233416,"method",4044525,"Excision - action"
4233416,"procedure_site",4139602,"Cecum structure"
4233416,"procedure_site",4311821,"Structure of distal portion of ileum"
4233625,"method",4044525,"Excision - action"
4233625,"procedure_site",4195956,"Tracheal structure"
4233678,"method",4045086,"Application - action"
4233827,"method",4043842,"Biopsy - action"
4233827,"procedure_site",4233942,"Structure of lymphatic system"
4234393,"method",4044525,"Excision - action"
4234393,"procedure_site",4155306,"External ear part"
4234536,"method",4044525,"Excision - action"
4234536,"procedure_site",4165732,"Prostate"
4234544,"method",4044182,"Incision - action"
4234544,"procedure_site",4204534,"Frontal sinus structure"
4234743,"method",40293773,"Implantation - action"
4234745,"method",4044525,"Excision - action"
4234745,"procedure_site",4075096,"Entire lobe of lung"
4234811,"method",4117491,"Anastomosis - action"
4234811,"procedure_site",4294659,"Structure of artery of upper limb"
4234811,"procedure_site",4045890,"Structure of vein of upper limb"
4234819,"method",4117981,"Repair - action"
4234819,"procedure_site",4184947,"Structure of popliteal artery"
4235738,"method",4044525,"Excision - action"
4235738,"procedure_site",4165732,"Prostate"
4236009,"method",4043842,"Biopsy - action"
4236009,"procedure_site",4327174,"Palatine tonsillar structure"
4236632,"method",4044538,"Surgical lengthening - action"
4236632,"procedure_site",4043007,"Structure of tendon within hand"
4236706,"method",4232650,"Bypass - action"
4236706,"procedure_site",4323840,"Structure of artery of lower limb"
4236715,"method",4117981,"Repair - action"
4236715,"procedure_site",4301737,"Abdominal aorta structure"
4237359,"method",4081836,"Ultrasound imaging - action"
4237359,"procedure_site",4214466,"Joint structure"
4237430,"method",4044190,"Injection - action"
4237682,"method",4044525,"Excision - action"
4237682,"procedure_site",4298444,"Breast structure"
4238120,"method",4044525,"Excision - action"
4238120,"procedure_site",4237182,"Structure of isthmus of thyroid gland"
4238206,"method",4044182,"Incision - action"
4238206,"method",4113232,"Osteotomy - action"
4238206,"procedure_site",4002236,"Mandible part"
4238384,"method",4044539,"Closure - action"
4238384,"procedure_site",4199457,"Arterial structure"
4238592,"method",4043859,"Grafting - action"
4238646,"method",4044525,"Excision - action"
4238646,"procedure_site",4241958,"Structure of lymph node"
4238814,"method",4045049,"Surgical action"
4238824,"method",4044182,"Incision - action"
4238824,"procedure_site",4296022,"Vaginal structure"
4239208,"method",4164507,"Examination under anesthesia"
4239302,"method",4044532,"Introduction - action"
4239558,"method",4045060,"Surgical recession - action"
4239558,"procedure_site",4285885,"Structure of extraocular muscle"
4240107,"method",4045070,"Plication - action"
4240107,"procedure_site",4239451,"Levator palpebrae superioris structure"
4240305,"method",4045056,"Aspiration - action"
4240305,"method",4044523,"Puncture - action"
4240305,"procedure_site",4150673,"Pleural structure"
4240584,"method",4142401,"Closed reduction - action"
4240584,"procedure_site",4061414,"Elbow joint structure"
4240701,"method",4044519,"Dissection - action"
4240817,"method",4044182,"Incision - action"
4240817,"procedure_site",4241958,"Structure of lymph node"
4240976,"method",4043707,"Slitting - action"
4240976,"procedure_site",4086187,"Structure of canthus"
4241048,"method",4044182,"Incision - action"
4241048,"procedure_site",4215634,"Colon structure"
4241075,"method",4044190,"Injection - action"
4241100,"method",4128335,"Surgical reduction"
4241100,"procedure_site",4298444,"Breast structure"
4241102,"method",4180933,"Pacing - action"
4241102,"procedure_site",4217142,"Heart structure"
4241329,"method",4044539,"Closure - action"
4241329,"procedure_site",4164276,"Nasal structure"
4241329,"procedure_site",4253672,"Oral cavity structure"
4241964,"method",4106455,"Cryotherapy - action"
4241964,"procedure_site",4102766,"Corneal structure"
4242750,"method",4117981,"Repair - action"
4242873,"method",4044544,"Fusion - action"
4242873,"procedure_site",4044884,"Cervical spine joint structure"
4242877,"method",4044518,"Evacuation - action"
4242997,"method",4044525,"Excision - action"
4242997,"procedure_site",4151384,"Gallbladder structure"
4243492,"method",4044542,"Ligation - action"
4243492,"procedure_site",4318955,"External carotid artery structure"
4243629,"method",4044553,"Reduction - action"
4243629,"procedure_site",4230029,"Bone structure of cranium"
4243659,"method",4044525,"Excision - action"
4243659,"procedure_site",4225241,"Peripheral nerve structure"
4243780,"method",4043842,"Biopsy - action"
4243780,"procedure_site",4217988,"Subcutaneous tissue structure"
4243808,"method",4044525,"Excision - action"
4243808,"procedure_site",4262229,"Laryngeal structure"
4243808,"procedure_site",4207370,"Pharyngeal structure"
4243827,"method",4044698,"Counseling - action"
4243919,"method",4044182,"Incision - action"
4243919,"procedure_site",4049448,"Ovarian structure"
4243973,"method",4044525,"Excision - action"
4243973,"method",4044182,"Incision - action"
4243973,"method",4043866,"Inspection - action"
4243973,"procedure_site",37303867,"Abdomen"
4243973,"procedure_site",4244412,"Anterior abdominal wall structure"
4243973,"procedure_site",4283683,"Appendix structure"
4244210,"method",4044544,"Fusion - action"
4244210,"method",4044182,"Incision - action"
4244210,"method",4043866,"Inspection - action"
4244210,"procedure_site",4150673,"Pleural structure"
4244210,"procedure_site",4199473,"Thoracic structure"
4244381,"method",4044525,"Excision - action"
4244381,"method",4044182,"Incision - action"
4244381,"method",4044524,"Removal - action"
4244381,"procedure_site",4199457,"Arterial structure"
4244431,"method",4044539,"Closure - action"
4244431,"procedure_site",4165580,"Structure of anal sphincter muscle"
4244871,"method",4045069,"Fixation - action"
4244871,"procedure_site",4266067,"Bone structure of radius"
4244986,"method",4193195,"Computed tomography imaging - action"
4244986,"procedure_site",4133034,"Brain structure"
4245362,"method",4117981,"Repair - action"
4245362,"procedure_site",4178172,"Tympanic membrane structure"
4245372,"method",4044524,"Removal - action"
4245857,"method",4044525,"Excision - action"
4245857,"procedure_site",4093545,"Paraovarian tissue"
4246067,"method",4257978,"Surgical transplantation - action"
4246067,"procedure_site",4102766,"Corneal structure"
4246197,"method",4044525,"Excision - action"
4246197,"procedure_site",4104340,"Venous structure"
4246527,"method",4106470,"Insertion - action"
4246684,"method",4117981,"Repair - action"
4246684,"procedure_site",4238088,"Testis structure"
4247555,"method",4043866,"Inspection - action"
4247555,"procedure_site",4302112,"Duodenal structure"
4247555,"procedure_site",4288283,"Stomach structure"
4247782,"method",4045049,"Surgical action"
4248040,"method",4044182,"Incision - action"
4248040,"procedure_site",4105319,"Conjunctival structure"
4248130,"method",4044525,"Excision - action"
4248130,"procedure_site",4101271,"Structure of hymen"
4248147,"method",4043842,"Biopsy - action"
4248147,"procedure_site",4049742,"Structure of superficial temporal artery"
4248822,"method",40485353,"Excision debridement - action"
4248955,"method",4236075,"Induction - action"
4248955,"method",4044523,"Puncture - action"
4248955,"procedure_site",4321867,"Structure of amnion"
4249123,"method",4045049,"Surgical action"
4249161,"method",4045049,"Surgical action"
4249180,"method",4044182,"Incision - action"
4249180,"procedure_site",4327174,"Palatine tonsillar structure"
4249749,"method",4117981,"Repair - action"
4249749,"procedure_site",4232481,"Urinary bladder structure"
4249893,"method",4043866,"Inspection - action"
4249893,"procedure_site",4215634,"Colon structure"
4250000,"method",4106470,"Insertion - action"
4250344,"method",4044203,"Electrocoagulation - action"
4250598,"method",4044909,"Management - action"
4250892,"method",4045049,"Surgical action"
4251314,"method",4044182,"Incision - action"
4251314,"method",4043866,"Inspection - action"
4251314,"procedure_site",4199742,"Abdominopelvic cavity structure"
4251314,"procedure_site",4244412,"Anterior abdominal wall structure"
4251348,"method",4044539,"Closure - action"
4251348,"procedure_site",44782621,"Structure of internal part of mouth"
4251737,"method",4044909,"Management - action"
4252234,"method",4117981,"Repair - action"
4252234,"procedure_site",4222297,"Abdominal wall"
4252234,"procedure_site",4244412,"Anterior abdominal wall structure"
4252594,"method",4044190,"Injection - action"
