"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
1521592,"norgestrel","7518","RxNorm","Ingredient",74,255
1347384,"irbesartan","83818","RxNorm","Ingredient",73,699
19136207,"lymphocyte immune globulin, anti-thymocyte globulin","1011","RxNorm","Ingredient",73,86
42801287,"pertuzumab","1298944","RxNorm","Ingredient",72,464
1304107,"imatinib","282388","RxNorm","Ingredient",71,2097
794852,"chlorpromazine","2403","RxNorm","Ingredient",68,687
1354698,"mesna","44","RxNorm","Ingredient",68,71
1712889,"raltegravir","719872","RxNorm","Ingredient",68,125
990028,"lanthanum carbonate","234416","RxNorm","Ingredient",67,343
45892075,"palbociclib","1601374","RxNorm","Ingredient",67,1133
1593467,"dupilumab","1876376","RxNorm","Ingredient",64,971
36249204,"velpatasvir","1799206","RxNorm","Ingredient",64,156
44785094,"sofosbuvir","1484911","RxNorm","Ingredient",64,156
751698,"procaine","8701","RxNorm","Ingredient",63,88
19010652,"moclobemide","30121","RxNorm","Ingredient",63,224
905078,"trifluridine","10803","RxNorm","Ingredient",62,331
951469,"calcium acetate","214342","RxNorm","Ingredient",62,188
1350504,"etoposide","4179","RxNorm","Ingredient",62,151
19038440,"basiliximab","196102","RxNorm","Ingredient",62,78
19054702,"fibrinogen","4385","RxNorm","Ingredient",62,92
35602757,"tipiracil","1670304","RxNorm","Ingredient",62,331
37497593,"diroximel fumarate","2261783","RxNorm","Ingredient",62,460
1136980,"ketorolac","35827","RxNorm","Ingredient",61,96
19027015,"dihydrotachysterol","3429","RxNorm","Ingredient",61,692
1395573,"chondroitin sulfates","2473","RxNorm","Ingredient",60,564
40167582,"ofatumumab","712566","RxNorm","Ingredient",60,447
924939,"bisacodyl","1596","RxNorm","Ingredient",59,186
19095309,"cholestyramine resin","2447","RxNorm","Ingredient",59,217
40167554,"pazopanib","714438","RxNorm","Ingredient",58,649
1510467,"erenumab","2045613","RxNorm","Ingredient",57,351
1736887,"linezolid","190376","RxNorm","Ingredient",56,84
19054825,"cladribine","44157","RxNorm","Ingredient",56,161
1326115,"oxytocin","7824","RxNorm","Ingredient",55,59
1377023,"hydroxocobalamin","5514","RxNorm","Ingredient",55,144
19084693,"reboxetine","60842","RxNorm","Ingredient",55,205
46287466,"evolocumab","1665684","RxNorm","Ingredient",55,782
710650,"modafinil","30125","RxNorm","Ingredient",53,646
37497383,"trifarotene","2205637","RxNorm","Ingredient",53,56
1336539,"sunitinib","357977","RxNorm","Ingredient",52,565
1758562,"inclisiran","2588243","RxNorm","Ingredient",52,117
1763204,"rifampin","9384","RxNorm","Ingredient",52,78
36026931,"estetrol","2539031","RxNorm","Ingredient",52,78
1786055,"deferasirox","614373","RxNorm","Ingredient",51,451
45775146,"peginterferon beta-1a","1546168","RxNorm","Ingredient",51,764
712615,"ziprasidone","115698","RxNorm","Ingredient",49,690
735951,"riluzole","35623","RxNorm","Ingredient",48,520
1592911,"ribociclib","1873916","RxNorm","Ingredient",47,528
1707687,"vancomycin","11124","RxNorm","Ingredient",47,85
740910,"phenytoin","8183","RxNorm","Ingredient",46,934
35604205,"venetoclax","1747556","RxNorm","Ingredient",46,407
1390051,"chlorambucil","2346","RxNorm","Ingredient",45,326
1511348,"risankizumab","2166040","RxNorm","Ingredient",45,342
45775396,"nintedanib","1592737","RxNorm","Ingredient",45,680
19072088,"metylperon","29961","RxNorm","Ingredient",44,55
19137042,"thalidomide","10432","RxNorm","Ingredient",44,274
35603563,"ixekizumab","1745099","RxNorm","Ingredient",44,458
19019131,"magnesium aspartate","142131","RxNorm","Ingredient",43,51
19049059,"potassium aspartate","8589","RxNorm","Ingredient",43,51
40234201,"butylscopolamine","1085787","RxNorm","Ingredient",43,107
40238930,"rilpivirine","1102270","RxNorm","Ingredient",43,96
1710612,"zidovudine","11413","RxNorm","Ingredient",42,152
19016754,"benzbromarone","1385","RxNorm","Ingredient",42,118
732893,"bupivacaine","1815","RxNorm","Ingredient",41,62
1537451,"finerenone","2562811","RxNorm","Ingredient",40,120
19034726,"sirolimus","35302","RxNorm","Ingredient",40,787
45892579,"olaparib","1597582","RxNorm","Ingredient",40,498
528986,"Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine","798220","RxNorm","Ingredient",38,38
528988,"Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine","798222","RxNorm","Ingredient",38,38
528990,"Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine","798224","RxNorm","Ingredient",38,38
529042,"Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine","798226","RxNorm","Ingredient",38,38
529044,"Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine","798228","RxNorm","Ingredient",38,38
529046,"Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine","798230","RxNorm","Ingredient",38,38
529072,"Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine","798232","RxNorm","Ingredient",38,38
1301267,"melphalan","6718","RxNorm","Ingredient",38,196
1398937,"clonidine","2599","RxNorm","Ingredient",38,432
1711759,"dapsone","3108","RxNorm","Ingredient",38,307
40174004,"Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine","901620","RxNorm","Ingredient",38,38
40174011,"Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine","901624","RxNorm","Ingredient",38,38
40174015,"Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine","901628","RxNorm","Ingredient",38,38
40174018,"Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine","901631","RxNorm","Ingredient",38,38
40174020,"Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine","901633","RxNorm","Ingredient",38,38
40174023,"Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine","901636","RxNorm","Ingredient",38,38
42800027,"varicella-zoster virus vaccine live (Oka-Merck) strain","1292422","RxNorm","Ingredient",37,38
1514412,"nandrolone","7244","RxNorm","Ingredient",36,47
44785885,"von Willebrand factor","11274","RxNorm","Ingredient",36,151
1309799,"eplerenone","298869","RxNorm","Ingredient",35,222
1344965,"guanfacine","40114","RxNorm","Ingredient",35,151
1352213,"factor VIII","4257","RxNorm","Ingredient",35,750
1363387,"sorafenib","495881","RxNorm","Ingredient",35,163
1505346,"liothyronine","10814","RxNorm","Ingredient",35,177
1736971,"abacavir","190521","RxNorm","Ingredient",35,108
37499031,"eptinezumab","2282660","RxNorm","Ingredient",35,65
40161532,"ustekinumab","847083","RxNorm","Ingredient",35,374
1524674,"zoledronic acid","77655","RxNorm","Ingredient",34,67
43012292,"cabozantinib","1363268","RxNorm","Ingredient",34,276
44507848,"ibrutinib","1442981","RxNorm","Ingredient",34,417
945286,"pilocarpine","8328","RxNorm","Ingredient",33,124
1308473,"tinzaparin","69646","RxNorm","Ingredient",33,232
1593700,"guselkumab","1928588","RxNorm","Ingredient",33,275
19029488,"diosmin","3489","RxNorm","Ingredient",33,140
1395557,"fludarabine","24698","RxNorm","Ingredient",32,33
1503501,"lanreotide","68092","RxNorm","Ingredient",32,677
523365,"poliovirus vaccine inactivated, type 2 (MEF-1)","763098","RxNorm","Ingredient",31,33
523367,"poliovirus vaccine inactivated, type 3 (Saukett)","763100","RxNorm","Ingredient",31,33
1511449,"danazol","3102","RxNorm","Ingredient",31,78
36879187,"poliomyelitis virus type 1 brunhilde","OMOP1004381","RxNorm Extension","Ingredient",31,33
1366610,"esketamine","2119365","RxNorm","Ingredient",30,634
19095462,"vinpocetine","24506","RxNorm","Ingredient",30,520
991382,"amiloride","644","RxNorm","Ingredient",29,215
1756831,"darunavir","460132","RxNorm","Ingredient",29,74
1595799,"ferrous fumarate","24941","RxNorm","Ingredient",28,30
40244464,"ruxolitinib","1193326","RxNorm","Ingredient",28,618
45775965,"pembrolizumab","1547545","RxNorm","Ingredient",28,217
1763339,"rimantadine","9386","RxNorm","Ingredient",27,28
19042545,"treosulfan","38508","RxNorm","Ingredient",27,27
19043154,"troxerutin","38893","RxNorm","Ingredient",27,29
19109079,"interferon-beta","4381","RxNorm","Ingredient",27,326
19136187,"streptokinase","10106","RxNorm","Ingredient",26,27
42900250,"enzalutamide","1307298","RxNorm","Ingredient",26,443
42904205,"tofacitinib","1357536","RxNorm","Ingredient",26,219
509079,"meningococcal group A polysaccharide","29501","RxNorm","Ingredient",25,25
509081,"meningococcal group C polysaccharide","29503","RxNorm","Ingredient",25,25
963987,"apalutamide","1999574","RxNorm","Ingredient",25,239
1735947,"rifaximin","35619","RxNorm","Ingredient",25,42
19036781,"calcium chloride","1901","RxNorm","Ingredient",25,36
19068688,"hesperidin","5281","RxNorm","Ingredient",25,132
1301065,"dalteparin","67109","RxNorm","Ingredient",24,102
1584910,"somatropin","61148","RxNorm","Ingredient",24,812
19018164,"oxeladin","32626","RxNorm","Ingredient",24,24
732309,"pergolide","8047","RxNorm","Ingredient",23,309
1105775,"aminophylline","689","RxNorm","Ingredient",23,134
1753745,"albendazole","430","RxNorm","Ingredient",23,127
40171288,"tocilizumab","612865","RxNorm","Ingredient",23,23
904351,"aminolevulinic acid","683","RxNorm","Ingredient",22,25
19031397,"dipyrone","3523","RxNorm","Ingredient",22,53
19093848,"magnesium sulfate","6585","RxNorm","Ingredient",22,33
717136,"neostigmine","7315","RxNorm","Ingredient",21,32
1510913,"siponimod","2121085","RxNorm","Ingredient",21,306
1513103,"raloxifene","72143","RxNorm","Ingredient",21,300
1750087,"povidone-iodine","8611","RxNorm","Ingredient",21,22
43014237,"pomalidomide","1369713","RxNorm","Ingredient",21,91
978236,"eflornithine","569","RxNorm","Ingredient",20,30
1302398,"ticlopidine","10594","RxNorm","Ingredient",20,32
1304919,"pemetrexed","68446","RxNorm","Ingredient",20,142
1358436,"dasatinib","475342","RxNorm","Ingredient",19,540
1436650,"mercaptopurine","103","RxNorm","Ingredient",19,120
1776684,"ceftazidime","2191","RxNorm","Ingredient",19,28
19063981,"rutin","9500","RxNorm","Ingredient",19,24
19088167,"ambroxol","625","RxNorm","Ingredient",19,19
19102107,"zofenopril","39990","RxNorm","Ingredient",19,178
43532299,"dabrafenib","1424911","RxNorm","Ingredient",19,194
43532497,"trametinib","1425099","RxNorm","Ingredient",19,168
45775206,"pirfenidone","1592254","RxNorm","Ingredient",19,330
1356018,"prucalopride","2107310","RxNorm","Ingredient",18,22
35602981,"idarucizumab","1716191","RxNorm","Ingredient",18,19
40241969,"brentuximab vedotin","1147320","RxNorm","Ingredient",18,116
967496,"lodoxamide","52151","RxNorm","Ingredient",17,23
1308368,"midodrine","6963","RxNorm","Ingredient",17,133
19011035,"lactate","114202","RxNorm","Ingredient",17,23
35605522,"osimertinib","1721560","RxNorm","Ingredient",17,195
36118603,"Rabies vaccine, inactivated","OMOP5051434","RxNorm Extension","Ingredient",17,31
40244266,"aflibercept","1232150","RxNorm","Ingredient",17,219
740121,"ponesimod","2532300","RxNorm","Ingredient",16,155
991855,"Saccharomyces boulardii","236782","RxNorm","Ingredient",16,16
1304565,"rasburicase","283821","RxNorm","Ingredient",16,21
1394023,"nilotinib","662281","RxNorm","Ingredient",16,567
1397141,"bevacizumab","253337","RxNorm","Ingredient",16,119
1521987,"teriparatide","32915","RxNorm","Ingredient",16,46
19012346,"eltrombopag","711942","RxNorm","Ingredient",16,322
40239330,"telaprevir","1102261","RxNorm","Ingredient",16,28
