"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
4336157,"Acute non-infective otitis externa","232232001","SNOMED","Disorder",11938,37121
316127,"Vitreous opacities","422061002","SNOMED","Disorder",11848,33872
26711,"Chronic pharyngitis","140004","SNOMED","Disorder",11757,29348
4182185,"Benign neoplasm of skin of head and neck","297134004","SNOMED","Disorder",11729,32130
80767,"Breast lump","89164003","SNOMED","Clinical Finding",11714,24620
133228,"Dental caries","80967001","SNOMED","Disorder",11644,41076
40481632,"Ganglion cyst","445008009","SNOMED","Disorder",11600,37045
4206148,"Syncope and collapse","309585006","SNOMED","Clinical Finding",11597,32425
434337,"Retinal vascular disorder","57534004","SNOMED","Disorder",11518,47166
439658,"Disorder of pregnancy","173300003","SNOMED","Disorder",11504,32119
435875,"Complication of pregnancy, childbirth and/or puerperium","198609003","SNOMED","Disorder",11499,54721
45757490,"Pregnancy not yet confirmed","152231000119106","SNOMED","Clinical Finding",11443,22161
380111,"Acute atopic conjunctivitis","67678004","SNOMED","Disorder",11420,33615
4115282,"Trichilemmal cyst","254677004","SNOMED","Disorder",11344,35863
4264718,"Chronic tubulointerstitial nephritis","60926001","SNOMED","Disorder",11341,60796
4086195,"Superficial injury of head","283025007","SNOMED","Disorder",11258,19512
377889,"Hearing loss","15188001","SNOMED","Disorder",11233,26471
256451,"Bronchitis","32398004","SNOMED","Disorder",11141,48825
443732,"Disorder due to type 2 diabetes mellitus","422014003","SNOMED","Disorder",11050,566027
4168216,"Pelvic and perineal pain","274671002","SNOMED","Clinical Finding",11040,28429
4298207,"Mouth breathing","77329001","SNOMED","Clinical Finding",11004,36177
378735,"Migraine without aura","56097005","SNOMED","Disorder",10957,138010
194382,"External hemorrhoids","23913003","SNOMED","Disorder",10950,34606
132706,"Disorder of nail","17790008","SNOMED","Disorder",10943,37330
376125,"Disorder of eyelid","60113004","SNOMED","Disorder",10879,25428
198492,"Second degree perineal laceration","6234006","SNOMED","Disorder",10855,22923
37119138,"Iron deficiency anemia due to blood loss","724556004","SNOMED","Disorder",10815,35891
74816,"Contusion of toe","58075000","SNOMED","Disorder",10812,17407
435262,"Primary open angle glaucoma","77075001","SNOMED","Disorder",10778,726245
194997,"Prostatitis","9713002","SNOMED","Disorder",10763,63396
255573,"Chronic obstructive pulmonary disease","13645005","SNOMED","Disorder",10724,235327
381581,"Chalazion","1482004","SNOMED","Disorder",10704,39042
4305577,"Abnormal blood pressure","38936003","SNOMED","Clinical Finding",10652,42749
4271013,"Melanocytic nevus","400096001","SNOMED","Disorder",10649,20458
441049,"Enamel caries","80353004","SNOMED","Disorder",10524,24188
432768,"Corneal foreign body","37450000","SNOMED","Disorder",10445,32776
30133,"Acute laryngitis","6655004","SNOMED","Disorder",10421,23868
200452,"Disorder of female genital organs","244938009","SNOMED","Disorder",10379,23303
436096,"Chronic pain","82423001","SNOMED","Clinical Finding",10305,109417
192367,"Dysplasia of cervix","73391008","SNOMED","Disorder",10294,37602
444132,"Injury of knee","125601008","SNOMED","Disorder",10271,26949
4307820,"Unplanned pregnancy","83074005","SNOMED","Clinical Finding",10196,22439
434613,"Generalized anxiety disorder","21897009","SNOMED","Disorder",10153,236324
196436,"Internal hemorrhoids","90458007","SNOMED","Disorder",10145,32240
73090,"Contusion of foot","74814004","SNOMED","Disorder",10131,17438
443600,"Localized infection of skin AND/OR subcutaneous tissue","430348006","SNOMED","Disorder",10089,25511
77079,"Spinal stenosis","76107001","SNOMED","Disorder",9976,124756
4141028,"Cervical disc disorder","425878001","SNOMED","Disorder",9971,30031
4035610,"Post-infective arthritis","239783001","SNOMED","Disorder",9962,53342
134870,"Pityriasis versicolor","56454009","SNOMED","Disorder",9942,32725
4335872,"Injury of globe of eye","231794000","SNOMED","Disorder",9938,27892
437663,"Fever","386661006","SNOMED","Clinical Finding",9935,20345
199075,"Neurogenic urinary bladder","398064005","SNOMED","Clinical Finding",9887,78991
432867,"Hyperlipidemia","55822004","SNOMED","Disorder",9866,67594
139099,"Ingrowing nail","400097005","SNOMED","Disorder",9854,36582
4025325,"Periapical abscess","196341005","SNOMED","Disorder",9851,16620
256439,"Allergic rhinitis caused by pollen","21719001","SNOMED","Disorder",9839,74839
80809,"Rheumatoid arthritis","69896004","SNOMED","Disorder",9780,110325
4046351,"Intercostal neuropathy","230646002","SNOMED","Disorder",9742,25542
315286,"Chronic ischemic heart disease","413838009","SNOMED","Disorder",9740,56333
