"year","sex","age_group","denominator"
2017,"M","40-49",14594
2017,"M","50-59",11555
2017,"M","60-69",8155
2017,"M","70-79",4073
2017,"M","80+",1312
2018,"F","10-19",3362
2018,"F","20-29",20031
2018,"F","30-39",27795
2018,"F","40-49",27548
2018,"F","50-59",24589
2018,"F","60-69",19279
2018,"F","70-79",10139
2018,"F","80+",3686
2018,"M","10-19",1558
2018,"M","20-29",11631
2018,"M","30-39",17083
2018,"M","40-49",14759
2018,"M","50-59",11877
2018,"M","60-69",8476
2018,"M","70-79",4373
2018,"M","80+",1493
2019,"F","10-19",1990
2019,"F","20-29",18471
2019,"F","30-39",28013
2019,"F","40-49",27511
2019,"F","50-59",25009
2019,"F","60-69",19812
2019,"F","70-79",11117
2019,"F","80+",4235
2019,"M","10-19",889
2019,"M","20-29",10413
2019,"M","30-39",17440
2019,"M","40-49",14908
2019,"M","50-59",12143
2019,"M","60-69",8783
2019,"M","70-79",4712
2019,"M","80+",1691
2020,"F","10-19",743
2020,"F","20-29",16924
2020,"F","30-39",28081
2020,"F","40-49",27306
2020,"F","50-59",25522
2020,"F","60-69",20462
2020,"F","70-79",11882
2020,"F","80+",4820
2020,"M","10-19",288
2020,"M","20-29",9278
2020,"M","30-39",17596
2020,"M","40-49",14938
2020,"M","50-59",12499
2020,"M","60-69",9146
2020,"M","70-79",5006
2020,"M","80+",1880
2021,"F","10-19",265
2021,"F","20-29",14989
2021,"F","30-39",27779
2021,"F","40-49",27167
2021,"F","50-59",25765
2021,"F","60-69",21210
2021,"F","70-79",12586
2021,"F","80+",5502
2021,"M","10-19",102
2021,"M","20-29",8027
2021,"M","30-39",17395
2021,"M","40-49",15018
2021,"M","50-59",12826
2021,"M","60-69",9409
2021,"M","70-79",5270
2021,"M","80+",2123
2022,"F","10-19",116
2022,"F","20-29",12907
2022,"F","30-39",27243
2022,"F","40-49",27061
2022,"F","50-59",26086
2022,"F","60-69",21831
2022,"F","70-79",13273
2022,"F","80+",6147
2022,"M","10-19",48
2022,"M","20-29",6751
2022,"M","30-39",17128
2022,"M","40-49",15131
2022,"M","50-59",13096
2022,"M","60-69",9668
2022,"M","70-79",5484
2022,"M","80+",2298
2023,"F","10-19",23
2023,"F","20-29",11168
2023,"F","30-39",26188
2023,"F","40-49",27201
2023,"F","50-59",26375
2023,"F","60-69",22348
2023,"F","70-79",14116
2023,"F","80+",6619
2023,"M","10-19",11
2023,"M","20-29",5704
2023,"M","30-39",16471
2023,"M","40-49",15435
2023,"M","50-59",13285
2023,"M","60-69",9974
2023,"M","70-79",5752
2023,"M","80+",2464
2024,"F","10-19",2
2024,"F","20-29",9455
2024,"F","30-39",25084
2024,"F","40-49",27261
2024,"F","50-59",26581
2024,"F","60-69",22812
2024,"F","70-79",15018
2024,"F","80+",7110
2024,"M","10-19",3
2024,"M","20-29",4755
2024,"M","30-39",15748
2024,"M","40-49",15642
2024,"M","50-59",13449
2024,"M","60-69",10252
2024,"M","70-79",6127
2024,"M","80+",2583
