concept_id,relationship,relationship_id,target_concept_id,target_concept_name
40487569,device,Using device,4149433,Orthopedic internal fixation system
40487575,device,Using acc device,4290594,Endoscope
40488324,device,Using acc device,4048015,Cystoscope
40488324,device,Using device,4048015,Cystoscope
40488324,device,Using device,4148813,Laser lithotripter
40488365,device,Has dir device,4035421,Indwelling urinary catheter
40488381,device,Using device,4313302,Laparoscope
40488431,device,Has proc device,4030875,Cardiac pacemaker
40488485,device,Using device,45768386,Aspiration needle
40488930,device,Using device,4130103,External fixation system
40489317,device,Using acc device,4290594,Endoscope
40489317,device,Using device,4290594,Endoscope
40489321,device,Using acc device,4290594,Endoscope
40489321,device,Using device,4290594,Endoscope
40489321,device,Using device,4232804,Surgical band
40489325,device,Using acc device,4290594,Endoscope
40489325,device,Using device,4290594,Endoscope
40489328,device,Using acc device,4233512,Colonoscope
40489328,device,Using device,4233512,Colonoscope
40489804,device,Has dir device,4039956,Electrode
40489804,device,Using device,4133890,Stereotactic device
40489836,device,Using device,4313302,Laparoscope
40489848,device,Using device,4313302,Laparoscope
40489881,device,Using device,45761018,Video capsule endoscopy system capsule
40490002,device,Using device,4049103,Arthroscope
40490324,device,Using device,4313302,Laparoscope
40490399,device,Using device,4313302,Laparoscope
40491343,device,Using device,4290594,Endoscope
40491343,device,Using acc device,4290594,Endoscope
40492244,device,Using device,4290594,Endoscope
40492244,device,Using acc device,4290594,Endoscope
40492254,device,Using acc device,4290594,Endoscope
40492529,device,Has dir device,4205702,Prosthesis
40493292,device,Has dir device,4280677,Stent
42535816,device,Using device,4297077,Vacuum extractor
42536901,device,Has dir device,45761716,External breast prosthesis
42709769,device,Using device,4149433,Orthopedic internal fixation system
42872444,device,Using device,4313302,Laparoscope
42872469,device,Has dir device,4113459,Nephrostomy tube
42872475,device,Using acc device,37163208,Fiberoptic esophagoscope
42872475,device,Using device,37163208,Fiberoptic esophagoscope
42872496,device,Using device,4313302,Laparoscope
42872509,device,Using device,4313302,Laparoscope
42872509,device,Has dir device,4106981,Tube drain
42872565,device,Using device,1245222,Echoendoscope
42872568,device,Using device,4313302,Laparoscope
42872569,device,Using device,4313302,Laparoscope
42872810,device,Using device,4149433,Orthopedic internal fixation system
42872831,device,Using device,4313302,Laparoscope
42872923,device,Using device,4290594,Endoscope
42872923,device,Using device,4260387,Laryngoscope
43531093,device,Using device,4313302,Laparoscope
43531134,device,Using device,4313302,Laparoscope
