concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4072697,procedure_site,Has indir proc site,4296022,Vaginal structure
4072700,procedure_site,Has indir proc site,4207210,Structure of rectouterine pouch
4072862,procedure_site,Has indir proc site,4083229,Ovarian follicle structure
4073379,procedure_site,Has indir proc site,4214466,Joint structure
4073391,procedure_site,Has indir proc site,4193513,Chest wall structure
4073393,procedure_site,Has proc site,4193513,Chest wall structure
4073521,procedure_site,Has proc site,4222297,Abdominal wall
4073521,procedure_site,Has proc site,4244412,Anterior abdominal wall structure
4073702,procedure_site,Has indir proc site,4165732,Prostate
4073860,procedure_site,Has proc site,4088153,Vein of spermatic cord
4073990,procedure_site,Has indir proc site,4337115,Ureteric structure
4073996,procedure_site,Has proc site,4076570,Structure of prepuce of penis
4074287,procedure_site,Has proc site,4182963,Structure of upper female genital system
4074443,procedure_site,Has indir proc site,4151444,Fallopian tube structure
4074571,procedure_site,Has indir proc site,4049448,Ovarian structure
4074687,procedure_site,Has indir proc site,4213162,Lung structure
4074831,procedure_site,Has proc site,4300066,Umbilical structure
4074869,procedure_site,Has indir proc site,4179487,Endometrial cavity structure
4075112,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4075290,procedure_site,Has proc site,4325458,Muscle structure
4075598,procedure_site,Has indir proc site,4237609,Skin structure of head and/or neck
4075967,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4076608,procedure_site,Has indir proc site,4310972,Glenohumeral joint structure
4077078,procedure_site,Has indir proc site,4162264,Hip joint part
4077763,procedure_site,Has indir proc site,4338971,Soft tissue
4079401,procedure_site,Has indir proc site,4080221,Entire glenohumeral joint
4079402,procedure_site,Has indir proc site,4080221,Entire glenohumeral joint
4079602,procedure_site,Has indir proc site,4267861,Lower limb structure
4079651,procedure_site,Has indir proc site,4353261,Component of knee joint
4079653,procedure_site,Has indir proc site,4353261,Component of knee joint
4079766,procedure_site,Has indir proc site,4104340,Venous structure
4080918,procedure_site,Has indir proc site,4196657,Eyelid structure
4081380,procedure_site,Has indir proc site,4029619,Bone marrow structure
4082198,procedure_site,Has indir proc site,4242893,Blood vessel structure
4083066,procedure_site,Has indir proc site,4237074,Pleural cavity structure
4083534,procedure_site,Has indir proc site,4032953,Forearm structure
4085558,procedure_site,Has indir proc site,4217142,Heart structure
4085923,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4086912,procedure_site,Has indir proc site,4144672,Ileal structure
4087552,procedure_site,Has proc site,4323581,Bone structure of femur
4087575,procedure_site,Has proc site,4202233,Anal structure
4087611,procedure_site,Has proc site,4065366,Structure of respiratory system
4087889,procedure_site,Has indir proc site,4271678,Kidney structure
4088016,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4091870,procedure_site,Has proc site,4164276,Nasal structure
4093926,procedure_site,Has indir proc site,4219601,Skin structure
4094533,procedure_site,Has indir proc site,4041251,Bone structure of pelvis
4098039,procedure_site,Has proc site,4014241,Structure of cardiovascular system
4098786,procedure_site,Has proc site,4148296,Peripheral nervous system structure
4098793,procedure_site,Has proc site,4148296,Peripheral nervous system structure
4099101,procedure_site,Has proc site,4014241,Structure of cardiovascular system
4099462,procedure_site,Has indir proc site,4298444,Breast structure
4099484,procedure_site,Has indir proc site,4217142,Heart structure
4101113,procedure_site,Has proc site,4214466,Joint structure
4102383,procedure_site,Has proc site,4014241,Structure of cardiovascular system
4103962,procedure_site,Has indir proc site,4169744,Knee joint structure
4105082,procedure_site,Has indir proc site,4043008,Artery of thorax
4107087,procedure_site,Has indir proc site,4080222,Entire elbow joint
4107428,procedure_site,Has indir proc site,4079208,Entire ankle joint
4107731,procedure_site,Has indir proc site,4217988,Subcutaneous tissue structure
4108845,procedure_site,Has indir proc site,4042529,Trunk structure
4108866,procedure_site,Has indir proc site,4267861,Lower limb structure
4113529,procedure_site,Has indir proc site,44782621,Structure of internal part of mouth
4116186,procedure_site,Has indir proc site,4167648,Superior vena cava structure
4118091,procedure_site,Has indir proc site,4202366,Temporomandibular joint structure
4119985,procedure_site,Has indir proc site,4219601,Skin structure
4119988,procedure_site,Has indir proc site,4219601,Skin structure
4120120,procedure_site,Has indir proc site,4271678,Kidney structure
4120148,procedure_site,Has proc site,4034270,Intestinal structure
4120445,procedure_site,Has indir proc site,4029619,Bone marrow structure
4120998,procedure_site,Has proc site,4219601,Skin structure
4121234,procedure_site,Has indir proc site,4144541,Rectum structure
4122234,procedure_site,Has indir proc site,4167501,Structure of gastric lumen
4122330,procedure_site,Has indir proc site,4140098,Esophageal structure
4123420,procedure_site,Has proc site,4234217,Structure of hemorrhoidal plexus
4123434,procedure_site,Has proc site,4227148,Epididymis structure
4123569,procedure_site,Has indir proc site,4319471,Structure of duodenal lumen
4123747,procedure_site,Has indir proc site,4140098,Esophageal structure
4123886,procedure_site,Has indir proc site,4302112,Duodenal structure
